"Thematic roles","thematic roles types","thematic roles parameters logic","syntactic types of thematic roles"
"Actor","abstract","or","ADJ"
"Actor1","animal","+","ADV"
"Actor2","animate","-","LEX"
"Agent","body_part",,"NP"
"Asset","comestible",,"PREP"
"Attribute","communication",,"SYNRESTR"
"Beneficiary","concrete",,"SYNRESTRS"
"Cause","currency",,"VERB"
"Destination","elongated",,
"Experiencer","force",,
"Extent","garment",,
"Instrument","human",,
"Location","int_control",,
"Material","location",,
"Oblique","machine",,
"Patient","nonrigid",,
"Patient1","organization",,
"Patient2","plural",,
"Predicate","pointy",,
"Product","refl",,
"Proposition","region",,
"Recipient","scalar",,
"Source","solid",,
"Stimulus","sound",,
"Theme","substance",,
"Theme1","time",,
"Theme2","vehicle",,
"Time",,,
"Topic",,,
"Value",,,
